Time,Magnitude,Location,,
2021-10-08T20:22:31.560Z,3.55, Puerto Rico,,
2021-10-08T21:39:25.346Z,5.1,South Sandwich Islands region,,
2021-10-08T21:46:36.478Z,3, USA,,
2021-10-08T21:53:42.819Z,4.8,South Sandwich Islands region,,
2021-10-08T22:55:34.652Z,5,South Sandwich Islands region,,
2021-10-08T23:07:38.890Z,3.73, Puerto Rico,,
2021-10-08T23:07:40.609Z,2.65,USA,,
2021-10-08T23:14:25.139Z,4, Peru,,
2021-10-08T23:16:26.459Z,5.1, Iran,,
2021-10-08T23:53:31.830Z,4.3, China,,
2021-10-09T01:04:39.386Z,2.8, USA,,
2021-10-09T01:14:51.897Z,2.8, USA,,
2021-10-09T02:16:19.389Z,4.3, Japan,,
2021-10-09T02:47:34.421Z,4.6, Japan,,
2021-10-09T03:23:22.370Z,3.01, Puerto Rico,,
2021-10-09T03:49:56.010Z,2.78, USA,,
2021-10-09T04:44:53.280Z,2.81, Puerto Rico,,
2021-10-09T04:47:50.386Z,5.6, Peru,,
2021-10-09T05:21:00.438Z,4.3, Peru,,
2021-10-09T05:32:00.520Z,5, Japan,,
2021-10-09T05:36:57.197Z,4.9, India,,
2021-10-09T05:42:53.810Z,3.26, USA,,
2021-10-09T05:50:11.841Z,4.7, Peru,,
2021-10-09T05:59:49.810Z,4.4, USA,,
2021-10-09T06:01:48.478Z,2.6, USA,,
2021-10-09T06:05:32.139Z,4.8, Iran,,
2021-10-09T06:19:13.550Z,2.54, USA,,
2021-10-09T06:23:50.436Z,2.5, USA,,
2021-10-09T06:38:32.935Z,3.1, USA,,
2021-10-09T06:54:12.422Z,4.8, Russia,,
2021-10-09T07:15:13.322Z,4.3, Chile,,
2021-10-09T07:16:15.464Z,2.5, USA,,
2021-10-09T07:19:03.534Z,2.8, USA,,
2021-10-09T07:20:14.980Z,2.72, USA,,
2021-10-09T08:50:49.400Z,2.64, USA,,
2021-10-09T09:00:38.226Z,2.9, USA,,
2021-10-09T09:33:12.911Z,4.6, Mexico,,
2021-10-09T09:38:55.990Z,2.7, Puerto Rico,,
2021-10-09T10:01:41.830Z,2.68, USA,,
2021-10-09T10:12:22.590Z,2.59,USA,,
2021-10-09T10:39:14.075Z,5.1, Papua New Guinea,,
2021-10-09T11:34:35.420Z,2.65, USA,,
2021-10-09T13:09:05.698Z,4.7, Indonesia,,
2021-10-09T13:12:06.798Z,2.7, USA,,
2021-10-09T13:23:09.463Z,4.3, Peru,,
2021-10-09T13:29:45.423Z,2.6, USA,,
2021-10-09T14:31:20.641Z,4.5, Peru,,
2021-10-09T14:47:13.100Z,2.47, Puerto Rico,,
2021-10-09T15:45:16.407Z,4.4, Fiji,,
2021-10-09T15:46:49.004Z,4, USA,,
2021-10-09T17:55:34.258Z,4.6, Peru,,
2021-10-09T18:55:10.070Z,3.24, Puerto Rico,,
2021-10-09T19:54:34.660Z,2.53, USA,,
2021-10-09T20:01:50.856Z,5.5, Papua New Guinea,,
2021-10-09T20:17:40.420Z,3.27, Puerto Rico,,
2021-10-09T20:23:34.157Z,3.4, USA,,
2021-10-09T22:02:52.210Z,2.59, USA,,
2021-10-09T22:15:28.720Z,2.5, USA,,
2021-10-09T22:30:46.340Z,3.22, Puerto Rico,,
2021-10-09T22:48:13.100Z,2.57,USA,,
2021-10-09T22:51:25.620Z,2.56, USA,,
2021-10-09T22:58:23.644Z,2.5, USA,,
2021-10-09T23:08:44.500Z,3.58, Hawaii,,
2021-10-09T23:11:00.019Z,4.4, Peru,,
2021-10-09T23:33:46.390Z,4.8, Chile,,
2021-10-10T00:20:41.030Z,5.7, Peru,,
2021-10-10T00:49:32.350Z,3.28, Puerto Rico,,
2021-10-10T01:00:28.682Z,2.9, USA,,
2021-10-10T01:21:24.651Z,3.4, USA,,
2021-10-10T01:35:27.720Z,2.56, Puerto Rico,,
2021-10-10T01:48:58.110Z,4.7, India,,
2021-10-10T02:40:53.650Z,2.46, Puerto Rico,,
2021-10-10T02:57:39.380Z,3.03,USA,,
2021-10-10T02:58:05.880Z,2.54, Puerto Rico,,
2021-10-10T04:04:43.800Z,2.47000003, Hawaii,,
2021-10-10T04:06:20.712Z,4.6, Peru,,
2021-10-10T04:38:02.040Z,2.59, USA,,
