time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-10-11T18:25:48.424Z,51.4765,-174.4297,35,4.9,mb,,143,0.824,0.8,us,us6000ftru,2021-10-11T19:21:39.040Z,"81 km S of Atka, Alaska",earthquake,1.8,2,0.035,268,reviewed,us,us
2021-10-11T17:30:29.810Z,0.8374,126.132,24.97,5,mb,,40,1.236,0.78,us,us6000ftrd,2021-10-11T17:57:47.040Z,"139 km W of Ternate, Indonesia",earthquake,6,4.7,0.06,95,reviewed,us,us
2021-10-11T15:27:49.072Z,0.8759,126.1488,10,5.1,mb,,32,1.222,0.49,us,us6000ftqr,2021-10-11T16:48:27.926Z,"137 km W of Ternate, Indonesia",earthquake,5.5,1.8,0.054,120,reviewed,us,us
2021-10-11T12:34:32.285Z,0.8215,126.1888,9.19,5.7,mww,,40,1.178,0.98,us,us6000ftpp,2021-10-11T21:57:46.571Z,"133 km W of Ternate, Indonesia",earthquake,6.8,3.2,0.075,17,reviewed,us,us
2021-10-11T09:10:24.682Z,56.2584,-156.5532,69.1,6.9,mww,,,,0.71,ak,ak021d1u1nos,2021-10-11T22:11:00.355Z,"114 km E of Chignik, Alaska",earthquake,,0.9,,,reviewed,ak,ak
2021-10-11T07:45:10.332Z,-7.0554,156.051,79.06,4.5,mb,,100,4.525,0.7,us,us6000ftna,2021-10-11T09:03:58.040Z,"102 km SE of Panguna, Papua New Guinea",earthquake,7.7,4.8,0.09,37,reviewed,us,us
2021-10-11T03:09:54.588Z,-9.0314,122.3758,97.91,4.9,mb,,40,0.416,0.79,us,us6000ftlq,2021-10-11T03:28:53.040Z,"48 km SSE of Maumere, Indonesia",earthquake,5.4,4.9,0.083,45,reviewed,us,us
2021-10-11T02:14:50.806Z,-22.3845,-67.4727,194.91,4.6,mb,,78,0.862,0.86,us,us6000ftll,2021-10-11T02:32:18.040Z,"94 km NE of San Pedro de Atacama, Chile",earthquake,9.3,11.7,0.182,9,reviewed,us,us
2021-10-10T21:48:36.560Z,18.8203333333333,-155.527166666667,35.06,6.21,ml,54,278,,0.12,hv,hv72748782,2021-10-11T22:28:57.067Z,"27 km SSE of Naalehu, Hawaii",earthquake,0.52,0.93,0.153984707746698,25,reviewed,hv,hv
2021-10-10T16:29:40.826Z,30.4075,94.7766,10,4.7,mb,,73,5.469,0.55,us,us6000ftj2,2021-10-10T17:12:14.040Z,"211 km N of Shi Yomi, India",earthquake,10,1.9,0.11,30,reviewed,us,us
2021-10-10T16:11:25.625Z,27.4312,55.229,10,4.7,mb,,52,2.626,0.4,us,us6000ftj0,2021-10-10T18:09:07.040Z,"102 km NNE of Bandar-e Lengeh, Iran",earthquake,8.1,1.9,0.063,81,reviewed,us,us
2021-10-10T16:09:35.333Z,57.8816,-32.7245,10,4.8,mb,,44,7.242,0.43,us,us6000ftj4,2021-10-10T18:31:01.040Z,"Reykjanes Ridge",earthquake,7.1,1.9,0.041,191,reviewed,us,us
2021-10-10T15:02:41.414Z,30.05,67.9376,10,4.5,mb,,142,4.574,0.64,us,us6000ftip,2021-10-10T16:27:46.281Z,"5 km S of Harnai, Pakistan",earthquake,4.5,1.9,0.105,30,reviewed,us,us
2021-10-10T14:16:15.906Z,42.3494,143.0581,61.73,4.9,mb,,109,0.342,0.48,us,us6000ftih,2021-10-11T14:17:34.085Z,"56 km E of Shizunai-furukawachō, Japan",earthquake,8,6,0.028,412,reviewed,us,us
2021-10-10T11:32:36.583Z,3.3673,122.9645,552.46,4.5,mb,,86,3.127,0.63,us,us6000fthq,2021-10-10T11:49:17.040Z,"295 km NW of Manado, Indonesia",earthquake,4.1,9.4,0.072,57,reviewed,us,us
2021-10-10T09:23:30.258Z,-16.6077,-72.1844,90.09,4.5,mb,,143,2.483,0.48,us,us6000fth3,2021-10-11T01:57:02.812Z,"16 km SW of Santa Rita de Siguas, Peru",earthquake,10.1,13.5,0.145,15,reviewed,us,us
2021-10-10T05:25:38.776Z,-56.6922,-27.3418,147.93,4.9,mb,,74,5.732,0.8,us,us6000ftgg,2021-10-10T05:45:10.040Z,"South Sandwich Islands region",earthquake,11.9,8.6,0.065,74,reviewed,us,us
2021-10-10T04:06:20.712Z,-8.7782,-74.6782,138.8,4.6,mb,,108,2.213,0.53,us,us6000ftfu,2021-10-10T04:20:46.040Z,"3 km ESE of Honoria, Peru",earthquake,4.3,8.3,0.054,104,reviewed,us,us
2021-10-10T01:48:58.110Z,30.3576,94.824,34.87,4.7,mb,,117,5.446,0.68,us,us6000ftez,2021-10-10T02:07:59.040Z,"207 km NNE of Shi Yomi, India",earthquake,11.6,6.2,0.106,29,reviewed,us,us
2021-10-10T00:20:41.030Z,-11.7378,-71.7073,13.45,5.7,mww,,76,4.102,1.36,us,us6000fteg,2021-10-11T00:24:47.179Z,"127 km NNW of Salvación, Peru",earthquake,5.7,3.3,0.044,50,reviewed,us,us
2021-10-09T23:33:46.390Z,-21.1246,-68.884,115.42,4.8,mb,,54,0.569,0.84,us,us6000ftea,2021-10-10T03:38:33.492Z,"147 km N of Calama, Chile",earthquake,5.3,5.1,0.044,157,reviewed,us,us
2021-10-09T20:01:50.856Z,-4.6488,153.0318,52.86,5.5,mww,,27,6.219,1.17,us,us6000ftd2,2021-10-10T20:05:58.651Z,"91 km ESE of Kokopo, Papua New Guinea",earthquake,8.5,4.2,0.062,25,reviewed,us,us
2021-10-09T17:55:34.258Z,-15.6589,-71.8162,10,4.6,mb,,136,2.949,0.87,us,us6000ftcj,2021-10-09T18:26:04.040Z,"5 km WSW of Maca, Peru",earthquake,10.2,1.9,0.095,33,reviewed,us,us
2021-10-09T14:31:20.641Z,-15.6781,-72.1257,10,4.5,mb,,171,3.169,1.33,us,us6000ftbc,2021-10-09T16:24:48.040Z,"6 km NNW of Huambo, Peru",earthquake,5.2,1.9,0.156,12,reviewed,us,us
2021-10-09T13:09:05.698Z,-4.0669,134.0372,10,4.7,mb,,122,2.118,1.05,us,us6000ftat,2021-10-09T13:43:47.040Z,"180 km WSW of Nabire, Indonesia",earthquake,8,1.9,0.158,12,reviewed,us,us
2021-10-09T10:58:30.852Z,-21.1717,174.5286,520.42,6.9,mww,,31,4.761,0.6,us,us6000ft9g,2021-10-10T09:33:53.327Z,"Vanuatu region",earthquake,5.3,3.8,0.05,38,reviewed,us,us
2021-10-09T10:39:14.075Z,-4.4957,153.4247,63.15,5.1,mb,,40,1.293,0.96,us,us6000ft9c,2021-10-09T12:00:48.926Z,"129 km E of Kokopo, Papua New Guinea",earthquake,9.1,5.3,0.05,129,reviewed,us,us
2021-10-09T09:33:12.911Z,15.7385,-92.2117,191.74,4.6,mb,,123,0.545,0.6,us,us6000ft8y,2021-10-10T07:59:41.145Z,"2 km SSW of Nueva Libertad, Mexico",earthquake,8.2,6,0.044,154,reviewed,us,us
2021-10-09T07:19:27.745Z,50.0361,149.8258,447.74,5.6,mww,,49,5.615,0.82,us,us6000ft86,2021-10-10T07:23:08.143Z,"Sea of Okhotsk",earthquake,8.5,5.9,0.068,21,reviewed,us,us
2021-10-09T06:54:12.422Z,63.3749,158.3473,10,4.8,mb,,104,5.263,0.62,us,us6000ft7x,2021-10-09T07:12:04.040Z,"161 km NE of Omsukchan, Russia",earthquake,8.6,1.9,0.077,52,reviewed,us,us
