time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-10-11T21:56:33.740Z,61.797,-150.0006,26.5,2.3,ml,,,,0.52,ak,ak021d21gqod,2021-10-11T22:00:39.325Z,"5 km NNE of Willow, Alaska",earthquake,,0.3,,,automatic,ak,ak
2021-10-11T21:31:42.240Z,35.511,-96.74533333,7.89,2.33,ml,100,32,0,0.17,ok,ok2021tyrz,2021-10-11T22:07:04.581Z,"6 km WNW of Prague, Oklahoma",earthquake,,0.4,0.21,35,reviewed,ok,ok
2021-10-11T21:25:47.140Z,19.1593341827393,-155.503173828125,35.1199989318848,2.53999996,md,44,117,,0.119999997,hv,hv72750412,2021-10-11T22:00:17.040Z,"5 km SSW of Pāhala, Hawaii",earthquake,0.53,0.699999988,2.04999995,27,automatic,hv,hv
2021-10-11T21:25:42.750Z,38.8139992,-122.8046646,2.51,0.5,md,16,52,0.009474,0.02,nc,nc73638475,2021-10-11T21:52:12.783Z,"6km NW of The Geysers, CA",earthquake,0.27,0.74,0.35,2,automatic,nc,nc
2021-10-11T21:23:20.690Z,37.6185,-118.869,3.43,0.62,md,11,130,0.004827,0.09,nc,nc73638470,2021-10-11T21:55:10.799Z,"10km ESE of Mammoth Lakes, CA",earthquake,0.63,0.93,0.071,9,reviewed,nc,nc
2021-10-11T21:08:41.540Z,38.814167,-122.8044968,2.18,1.39,md,14,68,0.009482,0.02,nc,nc73638465,2021-10-11T21:29:15.650Z,"6km NW of The Geysers, CA",earthquake,0.29,0.74,0.5,2,automatic,nc,nc
2021-10-11T21:01:11.870Z,38.8359985,-122.8373337,3.15,0.37,md,5,219,0.002962,0.02,nc,nc73638460,2021-10-11T21:17:17.503Z,"10km NW of The Geysers, CA",earthquake,2.43,1.88,,1,automatic,nc,nc
2021-10-11T20:49:18.850Z,19.2399997711182,-155.387161254883,32.2099990844727,2.25999999,md,46,142,,0.140000001,hv,hv72750387,2021-10-11T20:52:22.790Z,"10 km ENE of Pāhala, Hawaii",earthquake,0.62,0.899999976,1.47000003,35,automatic,hv,hv
2021-10-11T20:46:23.120Z,35.769,-117.5795,7.03,1.85,ml,22,84,0.04888,0.13,ci,ci40068088,2021-10-11T21:13:03.570Z,"16km W of Searles Valley, CA",earthquake,0.2,0.35,0.081,6,reviewed,ci,ci
2021-10-11T20:46:14.540Z,38.8279991,-122.8526688,1.73,0.37,md,11,105,0.003315,0.01,nc,nc73638455,2021-10-11T21:04:13.426Z,"10km NW of The Geysers, CA",earthquake,0.39,0.43,0.01,2,automatic,nc,nc
2021-10-11T20:38:55.210Z,37.4474983,-118.5446701,8.48,2.77,md,24,74,0.09391,0.05,nc,nc73638450,2021-10-11T20:58:39.893Z,"6km NE of Round Valley, CA",earthquake,0.26,0.79,0.22,31,automatic,nc,nc
2021-10-11T20:29:00.370Z,38.7895012,-122.7350006,2.07,0.65,md,10,174,0.02228,0.02,nc,nc73638445,2021-10-11T20:39:10.447Z,"2km NE of The Geysers, CA",earthquake,0.48,0.73,0.17,3,automatic,nc,nc
2021-10-11T20:26:03.600Z,32.9115,-116.9416667,-0.18,1.62,ml,35,71,0.07644,0.33,ci,ci40068064,2021-10-11T21:23:10.894Z,"6km NNW of Lakeside, CA",quarry blast,0.66,31.61,0.209,15,reviewed,ci,ci
2021-10-11T20:19:57.430Z,38.4970016,-119.413002,0.9,2.4,md,13,81,0.02107,0.11,nc,nc73638435,2021-10-11T21:11:23.358Z,"31km NNW of Bridgeport, CA",earthquake,0.37,0.8,0.19,13,automatic,nc,nc
2021-10-11T20:19:54.318Z,62.4629,-151.1343,49.3,1.4,ml,,,,1.24,ak,ak021d20nf07,2021-10-11T20:38:10.344Z,"19 km WSW of Petersville, Alaska",earthquake,,0.9,,,automatic,ak,ak
2021-10-11T20:10:43.050Z,19.1765003204346,-155.492828369141,33.1599998474121,2.27,ml,51,86,,0.109999999,hv,hv72750342,2021-10-11T21:11:53.040Z,"3 km SSW of Pāhala, Hawaii",earthquake,0.5,0.670000017,3.72,10,automatic,hv,hv
2021-10-11T20:05:07.870Z,38.8380013,-122.8096695,1.33,0.85,md,8,111,0.01459,0.02,nc,nc73638425,2021-10-11T20:16:10.766Z,"8km WNW of Cobb, CA",earthquake,0.34,1.3,,1,automatic,nc,nc
2021-10-11T19:56:35.420Z,37.6245,-118.8616667,4.35,0.29,md,6,130,0.005593,0.04,nc,nc73638415,2021-10-11T20:39:10.822Z,"10km E of Mammoth Lakes, CA",earthquake,0.5,1.26,0.154,7,reviewed,nc,nc
2021-10-11T19:47:18.700Z,35.179,-118.343,-0.81,1.4,ml,8,135,0.1289,0.08,ci,ci40068040,2021-10-11T20:19:51.450Z,"11km ENE of Tehachapi, CA",quarry blast,0.5,31.61,0.067,3,reviewed,ci,ci
2021-10-11T19:40:25.274Z,56.2823,-156.5443,57.4,4.1,ml,,,,0.61,ak,ak021d206f9o,2021-10-11T20:32:58.040Z,"115 km E of Chignik, Alaska",earthquake,,0.7,,,reviewed,ak,ak
2021-10-11T19:35:57.427Z,56.2846,-156.4769,28.6,2.9,ml,,,,0.41,ak,ak021d205f9d,2021-10-11T20:46:24.040Z,"119 km E of Chignik, Alaska",earthquake,,1.3,,,automatic,ak,ak
2021-10-11T19:31:37.210Z,38.8336667,-122.8175,1.64,0.98,md,8,89,0.01178,0.01,nc,nc73638405,2021-10-11T19:53:10.640Z,"8km NW of The Geysers, CA",earthquake,0.46,1.14,,1,reviewed,nc,nc
